id,saleprice
2658,109321.11890439801
2718,182597.980121524
2414,205396.06324426777
1989,115376.23104689657
625,179243.40446121013
333,90825.97799861553
1327,108976.4026375124
858,143318.65188205882
95,185371.61245779414
1568,175813.67150168912
2482,159990.25506817363
1364,117977.67749101596
2584,144385.00586606373
818,336976.24235971586
2673,141308.7787384915
2089,114400.12496013303
1297,174747.23639309386
790,116551.29278620708
2616,196813.66993162775
720,171369.02355957762
222,147798.32120788682
557,125531.64623405112
1148,196058.46967643878
2766,172624.81523591818
534,177758.52874205113
1452,119729.03688038627
630,144908.04929569562
2648,125299.07478705332
125,146219.38691048455
1904,75739.28739775576
1670,112221.61651166235
756,91603.57521712437
717,183459.78701701594
1032,156542.05199730414
852,209021.82804525425
1731,177433.45174774222
2639,112272.37164306032
2071,86147.8769919359
1267,117093.8278250943
1851,181240.43293043462
567,165230.9648228362
2439,215567.29072095721
1898,156932.611248442
647,158327.2165396111
2256,230325.42239517646
979,97199.22409605904
1444,220796.43605135844
2485,123822.73418778744
157,133984.80232972535
88,130435.08211293808
2003,104387.0927186069
186,170243.72380070054
1425,245237.90395504137
2695,118235.13008372523
738,101265.57706396509
395,156136.50649216137
1353,161840.36632327328
1878,151864.9711356834
390,166493.61978817527
1456,232963.42176661425
1103,301075.6000059204
1387,135800.65267413907
2070,149101.57953815348
1199,164394.8729377152
2479,169377.50345045852
501,317894.12112967024
2362,98720.07815642915
1718,204268.57719201263
2188,89950.72725208521
1483,158918.09179404014
2557,94079.07613912212
437,354775.8965246697
2224,203655.91145169624
1628,178865.46122770218
397,136256.30017163008
587,188216.71857903796
971,139756.17777740522
2611,146622.3559654552
1887,101630.5515944302
2399,346408.2781113545
2148,207031.93630941137
304,106497.65012499371
1997,133383.69243617644
2817,131022.33615260529
1431,211239.38021605532
427,360117.8301696239
263,126043.7392080055
598,164888.61977728864
2895,229073.16241101793
687,135395.10569512122
1822,138849.92580389505
2191,104913.05274780188
179,117030.15851950813
1009,234910.26819057908
2010,132544.6783955645
1991,137309.3422508084
1411,138931.25931834945
1721,248246.8980517647
1144,187451.31467854083
593,214888.2400596692
