id,saleprice
2658,141255.09528668513
2718,191268.9235230371
2414,203710.07172677995
1989,116840.04490773438
625,182438.42449101087
333,86935.37557085555
1327,100582.5399528043
858,146630.57366968002
95,191638.1787209278
1568,178737.06458855807
2482,160738.92624467635
1364,127216.39909284613
2584,154139.16447090078
818,318387.39337668294
2673,144534.28852509736
2089,117439.97896879674
1297,208197.50721188114
790,115148.65753829629
2616,191961.4616172662
720,184389.0216690644
222,148764.11700820853
557,126169.855952811
1148,202251.94266604906
2766,179357.85893256168
534,177903.69839663146
1452,114544.99538253753
630,152675.66001276067
2648,157292.3703190191
125,142007.3256878229
1904,61811.07131285698
1670,103771.03998008253
756,88995.4105856544
717,196778.09680613992
1032,159452.28002085962
852,212977.1532626924
1731,178666.80523128292
2639,126425.23318840904
2071,83976.14148607913
1267,105597.61966039354
1851,188632.35205490777
567,173502.63411825598
2439,211554.82701575707
1898,157089.30364942568
647,161583.07474815275
2256,237891.36313676732
979,105019.47792268009
1444,220511.47505688446
2485,124498.9346258939
157,129571.76401608853
88,131521.677070637
2003,101446.28763557396
186,190915.03914609726
1425,238087.6044632857
2695,127609.73700176398
738,82411.8515935802
395,148168.95847327964
1353,171402.37532843326
1878,147902.89119824988
390,169281.66729258146
1456,231070.54989493242
1103,315754.68583795475
1387,148877.36427877148
2070,153255.9526537282
1199,162698.38389345267
2479,172463.63784739486
501,324046.9500862528
2362,86971.98395551291
1718,222856.4427321868
2188,74226.90813691373
1483,162844.25124616866
2557,87960.15085039739
437,352121.8829917666
2224,212045.65247933008
1628,169846.25620088328
397,131382.6948139181
587,192120.9100655295
971,140876.61870649338
2611,138288.9783594975
1887,93633.8834096741
2399,368710.29123458924
2148,209887.95115008566
304,111244.60035692863
1997,140157.77147223588
2817,126298.51472429259
1431,204478.9389171965
427,389566.01361430844
263,129238.08565758713
598,167245.6947852052
2895,225309.4089814608
687,128581.74211607341
1822,135157.93110592288
2191,98995.82382372794
179,118547.60402349447
1009,258550.81800925784
2010,134278.9565485497
1991,146423.9295855447
1411,154610.89194789997
1721,257255.88590812637
1144,190327.13572260362
593,210818.58308986668
575,310809.1253733706
1249,182140.40291159204
1604,120269.25927690206
1064,428843.22793776216
1923,166458.90113964578
1988,97767.45533546599
2325,171106.21808004024
114,201390.39996901338
2700,203705.41220354298
217,167117.46231856232
343,181558.7445046431
386,233168.25446926348
2005,87283.79206435892
2908,127399.67595464867
1814,212151.9636727073
2446,410797.37059209484
208,153600.18644625525
1679,114653.96454471821
822,342499.1766965388
6,187416.26497811938
1781,381686.61513817543
2397,302148.3268382805
2340,326505.9185979861
1618,161459.969650598
2843,127562.71268758806
1061,362034.93240681227
2786,114494.90243466278
1935,137337.4726262302
1341,130653.78975797497
521,247465.7176058408
2136,151982.95392609725
996,204236.6956158956
227,149826.0063709053
135,161212.5544968421
1167,174347.45257347656
294,238729.05057583575
1776,205405.61550015607
540,173236.8370185683
1717,230524.38698847455
2303,119351.82491232206
116,184080.79197256407
127,137073.4158266723
1371,128130.38073039212
1014,183723.65398979269
1507,95496.82412370223
702,134248.65594273747
750,150346.64951288715
261,143378.57612909595
1559,69756.3125757954
577,226121.75559084307
2812,198092.47184325574
2080,138632.46330268838
1368,118703.9244943613
2376,126454.49917939864
659,110900.72988152018
1235,125550.13571783023
332,78112.25426132306
1917,144205.8313891511
2094,252457.16806926674
1460,250308.54592585654
1471,213608.25257104286
1509,108766.61474768165
1922,129523.86244231292
433,450847.8682249612
460,333149.77391994366
1116,229827.14727935503
1137,165715.63044295774
53,168988.6185145747
2354,250943.97443755562
1475,197910.5248972476
1761,484544.10757250135
842,144237.16872669605
2739,164532.721789143
2509,168052.69474559618
1007,196788.00371259346
2610,169423.22808426613
1952,112437.23746731726
2719,184716.58214385124
2921,88730.50437164331
1966,152971.86767026954
292,132789.21939925785
1204,189990.28973383192
1829,257022.75079106036
2419,192369.6653798995
391,162059.96839296928
798,105476.89813502939
481,203904.0650404486
193,196023.93180260452
555,121780.65621505349
899,46294.30351162425
2357,182204.16326614004
328,122343.6806390112
1356,107685.8629981208
1154,99225.48314166606
1730,193362.84534540077
2249,150477.01302810642
1119,257942.86856402495
2856,147736.23437503923
1394,120688.24861233769
2587,106877.60186248214
61,341273.97890539176
2661,182754.47388197161
2711,121967.97733861774
1147,171386.47749710397
757,128417.16814774941
2623,102291.46051651562
2378,145278.19592988217
1413,130983.70354218897
1722,238779.15554110863
1112,217203.24342096687
1623,194749.3991383295
1201,186726.7511013977
1513,118235.4936424561
957,272090.6701366417
1171,269616.57653251
1145,191683.4161885133
2726,235881.79178351557
703,153059.0762393763
760,79732.96711769767
1964,152100.44442863978
