id,saleprice
2658,132781.24594599736
2718,180819.2584643509
2414,200443.35545640462
1989,120712.08272582944
625,183344.17164948923
333,86080.17806183199
1327,104333.22234860621
858,148085.2856749288
95,200173.21151237853
1568,179119.46764826105
2482,168877.38267448783
1364,124673.71405777123
2584,149522.18202783022
818,291129.60969696473
2673,144169.01137298686
2089,121974.41317351768
1297,203342.465652072
790,116409.21216826762
2616,192093.42078705813
720,181931.690103564
222,149511.6216237172
557,124882.81576280954
1148,204575.98403035867
2766,184808.9756037636
534,183100.21564859158
1452,118293.726611992
630,147286.58731594234
2648,142309.158371815
125,146190.81902087503
1904,68434.66339997733
1670,107423.82670536166
756,90097.61991786209
717,189708.66889561317
1032,164840.1987549307
852,213209.1388476332
1731,170884.7834590733
2639,122046.98723917815
2071,84940.95587553107
1267,115318.47903933316
1851,198287.18307896072
567,176911.68877474414
2439,211796.6676143105
1898,154703.485743846
647,166630.87574629218
2256,237933.65869272064
979,102307.0416188239
1444,221641.0583226721
2485,124557.80464196164
157,133094.0769616005
88,132670.38384970534
2003,102268.92880603409
186,185775.74401067436
1425,235269.1875091954
2695,126513.0497590574
738,91150.83182312192
395,153563.03507488105
1353,164495.11051694278
1878,150735.3013049935
390,171277.16409410065
1456,229618.16760654846
1103,296012.36770474387
1387,140775.7816661471
2070,152245.3590812456
1199,167253.54490981612
2479,177509.35371523755
501,305149.9926243045
2362,92761.71918286546
1718,220371.15349687904
2188,81102.22004485824
1483,173003.04915447906
2557,90569.74970984485
437,315743.3008634128
2224,210867.60720916884
1628,181990.11041803155
397,134902.67834287585
587,192345.1876439107
971,145145.02771813187
2611,142879.89368676295
1887,101126.5755838097
2399,306060.53912194574
2148,211179.37382352113
304,110223.40210340236
1997,139939.43964335907
2817,130302.62128727001
1431,209168.18636473868
427,310176.4250036549
263,128932.62541370685
598,173143.82017073396
2895,227448.72816707887
687,129539.31544206516
1822,136972.7837165224
2191,100949.81940463073
179,121988.94957408251
1009,220629.15365487157
2010,134060.66933440918
1991,143479.3219853833
1411,149792.8441392571
1721,250064.63630458247
1144,193287.99399235751
593,215843.7302947123
575,262119.59572441693
1249,179007.24957789018
1604,127341.72497799461
1064,356803.5514762624
1923,162812.50470403608
1988,101736.60408020469
2325,175502.48150768396
114,200761.73141008272
2700,187235.0070525222
217,155754.93511269538
343,180076.69565077452
386,236313.58761409382
2005,94304.63286602605
2908,130843.21584292658
1814,213306.14694635067
2446,372442.3872802077
208,151416.7973530436
1679,110795.60885846018
822,285393.08093770995
6,184066.0294318763
1781,318288.3823568956
2397,273421.5798372949
2340,270137.18239481613
1618,161760.93849878034
2843,127621.19983340352
1061,330351.45308994467
2786,120687.5052045933
1935,138485.28633362942
1341,134987.0696140743
521,250018.1982281464
2136,151524.6654322372
996,201409.7547956545
227,149081.4433012407
135,163574.59712268616
1167,179172.29707727596
294,236265.00042825687
1776,199565.84285367397
540,176437.44241773945
1717,218011.01820698235
2303,130392.82955276122
116,187274.78115487384
127,138321.2498820926
1371,126567.63392024764
1014,175729.60660052206
1507,101148.17969985763
702,128961.73532045953
750,143945.6327696751
261,147671.11793950544
1559,73716.0185096011
577,218716.0806528459
2812,200920.32013502507
2080,136431.8526181606
1368,116122.59521893931
2376,134509.18105578484
659,118004.16984465768
1235,124816.49886224032
332,76871.75428149052
1917,148200.33025204513
2094,241164.91907845478
1460,243942.61788056008
1471,207972.9539347073
1509,112042.19763982424
1922,129800.92487213865
433,374258.93379086856
460,277074.924872985
1116,229997.51128929586
1137,165059.39833860728
53,177887.10969657617
2354,241860.36453064505
1475,196535.36307694722
1761,425518.30039488926
842,144222.90178738945
2739,160932.78328548573
2509,184509.67943292533
1007,200833.73786191698
2610,169010.16466325053
1952,106944.41137277713
2719,174843.22389330887
2921,87840.3728880461
1966,151656.545119105
292,129671.7399273538
1204,190660.37313662466
1829,248797.33068007504
2419,186752.89931379267
391,169125.15130894855
798,106836.8457669484
481,207508.5622332386
193,189776.06302870362
555,122398.44675232755
899,55128.432802226336
2357,188166.46181100621
328,124514.60274310518
1356,115234.01754627892
1154,102684.46919755323
1730,187857.68348279447
2249,157522.8436272669
1119,249490.2726099887
2856,146541.50506347968
1394,124943.60565119513
2587,111637.43543422177
61,309304.01188706077
2661,172804.85960928726
2711,124288.77876810622
1147,178591.80069040664
757,129217.83255865055
2623,101995.59003096592
2378,146551.80065982643
1413,136057.66440340187
1722,236455.61769132531
1112,220735.2138393192
1623,191727.1384321568
1201,193037.36989007104
1513,118219.03615884004
957,260382.81555387858
1171,264309.08114305115
1145,196111.43966149056
2726,231670.98490541865
703,156916.43172605778
760,85440.25225021642
1964,154465.1313281877
2512,200128.3726899517
159,132389.93695449494
1281,168564.42958985723
468,186450.73294337458
290,127687.20883374962
665,107259.38202588494
1463,245622.64228191253
1792,214451.1102341995
923,145235.02319695393
500,272842.69838842057
1408,147741.1825644165
331,74431.47934531758
170,124664.85782778412
2192,96783.80573018135
2571,228085.85222902015
2314,169335.8165146036
2647,94749.70331777763
422,363848.5525601587
2457,301744.31332732027
1838,222582.6766885573
2805,231123.77246961178
1645,161414.35808620087
1711,285135.6087699909
2825,230284.9036958912
322,278383.9216266207
2103,234461.51126191881
342,118968.42874203404
600,123766.11985442485
488,185423.13136062663
1725,290412.8474546864
2246,259019.68726849422
2847,156655.98848239993
